predator_scientific_name,predator_taxon_kingdom,prey_scientific_name,prey_taxon_kingdom,is_carnivorous_plant,valid_eats_prey,My Remarks,Need to check?,Type of Feeding
Nannopterum auritum,Animalia,Atherinopsis californiensis,Animalia,,,,,
Solenopsis invicta,Animalia,Atlanticus gibbosus,Animalia,,,,,
Salticus scenicus,Animalia,Atomosia puella,Animalia,,,,,
Pycnonotus barbatus,Animalia,Atrichiana placida,Animalia,,,,,
Pycnonotus barbatus layardi,Animalia,Atrichiana placida,Animalia,,,,,
Tetramorium squaminode,Animalia,Atrichiana placida,Animalia,,,,,
Harmonia axyridis,Animalia,Auchenorrhyncha,Animalia,,,,,
Orthetrum robustum,Animalia,Auchenorrhyncha,Animalia,,,,,
Astur cooperii,Animalia,Aves,Animalia,,,,,
Falco columbarius,Animalia,Aves,Animalia,,,,,
Larus fuscus,Animalia,Aves,Animalia,,,,,
Milvus migrans parasitus,Animalia,Aves,Animalia,,,,,
Merops persicus persicus,Animalia,Azanicada zuluensis,Animalia,,,,,
Angelica sylvestris,Plantae,Anthophila,Animalia,FALSE,FALSE,Pollination,,Pollination
Palpada alhambra,Animalia,Baccharis pilularis,Plantae,,,,,
Anartia jatrophae,Animalia,Bacopa monnieri,Plantae,,,,,
Vespula flavopilosa,Animalia,Baeolophus bicolor,Animalia,,,,,
Larus hyperboreus,Animalia,Balaenoptera acutorostrata,Animalia,,,,,
Araschnia levana,Animalia,Barbarea vulgaris,Plantae,,,,,
Elisolimax flavescens,Animalia,Barleria delagoensis,Plantae,,,,,
Nepheronia buquetii,Animalia,Barleria elegans orientalis,Plantae,,,,,
Nepheronia buquetii buquetii,Animalia,Barleria elegans orientalis,Plantae,,,,,
Anthus cinnamomeus,Animalia,Basiothia medea,Animalia,,,,,
Hycleus oculatus,Animalia,Bauhinia tomentosa,Plantae,,,,,
Tartessus ferrugineus,Animalia,Begonia cucullata,Plantae,,,,,
Angelica sylvestris,Plantae,Anthrenus,Animalia,FALSE,FALSE,Pollination,,Pollination
Ardea brachyrhyncha,Animalia,Belostomatidae,Animalia,,,,,
Thomisus onustus,Animalia,Bembix oculata,Animalia,,,,,
Isistius brasiliensis,Animalia,Berardius bairdii,Animalia,,,,,
Pipilo maculatus,Animalia,Berberis aquifolium,Plantae,,,,,
Bombus impatiens,Animalia,Berberis thunbergii,Plantae,,,,,
Hycleus lunatus,Animalia,Berkheya,Plantae,,,,,
Nototettigometra patruelis,Animalia,Berkheya bipinnatifida,Plantae,,,,,
Vanessa cardui,Animalia,Berkheya bipinnatifida,Plantae,,,,,
Vanessa cardui,Animalia,Berkheya bipinnatifida bipinnatifida,Plantae,,,,,
Hypolimnas misippus,Animalia,Berkheya radula,Plantae,,,,,
Hypocrites claviger,Animalia,Berkheya umbellata,Plantae,,,,,
Monolepta cruciata,Animalia,Berkheya umbellata,Plantae,,,,,
Oxythyrea marginalis,Animalia,Berkheya umbellata,Plantae,,,,,
Acanthis flammea,Animalia,Betula papyrifera,Plantae,,,,,
Liriomyza,Animalia,Bidens,Plantae,,,,,
Phytomia zonata,Animalia,Bidens alba,Plantae,,,,,
Circaetus cinereus,Animalia,Bitis arietans,Animalia,,,,,
Naja nivea,Animalia,Bitis arietans,Animalia,,,,,
Heteropoda jugulans,Animalia,Blattidae,Animalia,,,,,
Anasaitis canosus,Animalia,Blattodea,Animalia,,,,,
Platycryptus undatus,Animalia,Blattodea,Animalia,,,,,
Sphenomorphus maculatus,Animalia,Blattodea,Animalia,,,,,
Sphaerocoris testudogrisea,Animalia,Blepharis sericea,Plantae,,,,,
Neoitamus flavofemoratus,Animalia,Blepharomastix ranalis,Animalia,,,,,
Libyaspis wahlbergi,Animalia,Bobgunnia madagascariensis,Plantae,,,,,
Misumena vatia,Animalia,Bombus,Animalia,,,,,
Phidippus audax,Animalia,Bombus,Animalia,,,,,
Angelica sylvestris,Plantae,Aphis,Animalia,FALSE,FALSE,Genus is mentioned instead of species name which makes us difficult to verify the interaction.,Yes,
Asclepias fascicularis,Plantae,Asclepias fascicularis,Plantae,FALSE,FALSE,Pollination. There is no one who is doing pollination in the image and the content. ,Yes,Pollination
Misumena vatia,Animalia,Bombus flavifrons,Animalia,,,,,
Melanerpes lewis,Animalia,Bombus griseocollis,Animalia,,,,,
Euthyrhynchus floridanus,Animalia,Bombus impatiens,Animalia,,,,,
Peucetia viridans,Animalia,Bombus impatiens,Animalia,,,,,
Tenodera angustipennis,Animalia,Bombus impatiens,Animalia,,,,,
Asclepias speciosa,Plantae,Papilio rutulus,Animalia,FALSE,FALSE,Pollination,,Pollination
Misumena vatia,Animalia,Bombus mixtus,Animalia,,,,,
Misumena vatia,Animalia,Bombus rufocinctus,Animalia,,,,,
Tetramorium immigrans,Animalia,Bombus rufocinctus,Animalia,,,,,
Marpissa muscosa,Animalia,Brachycera,Animalia,,,,,
Ommatius coeraebus,Animalia,Brachycera,Animalia,,,,,
Basipta stolida,Animalia,Brachylaena discolor,Plantae,,,,,
Cassida granulicollis,Animalia,Brachylaena discolor,Plantae,,,,,
Scotopsinus verrucifer,Animalia,Brachylaena discolor,Plantae,,,,,
Spermestes bicolor,Animalia,Brachylaena discolor,Plantae,,,,,
Spermestes bicolor nigriceps,Animalia,Brachylaena discolor,Plantae,,,,,
Leucocelis amethystina,Animalia,Brachystegia boehmii,Plantae,,,,,
Pedinorrhina trivittata,Animalia,Brachystegia boehmii,Plantae,,,,,
Lophoceros alboterminatus,Animalia,Brachytrupes,Animalia,,,,,
Pluvialis squatarola,Animalia,Brachyura,Animalia,,,,,
Dispholidus typus,Animalia,Bradypodion damaranum,Animalia,,,,,
Dispholidus typus typus,Animalia,Bradypodion damaranum,Animalia,,,,,
Halcyon albiventris,Animalia,Bradypodion damaranum,Animalia,,,,,
Halcyon albiventris albiventris,Animalia,Bradypodion damaranum,Animalia,,,,,
Chelydra serpentina,Animalia,Branta canadensis,Animalia,,,,,
Pieris rapae,Animalia,Brassica,Plantae,,,,,
Autographa gamma,Animalia,Brassica napus,Plantae,,,,,
Pieris rapae,Animalia,Brassicaceae,Plantae,,,,,
Larus delawarensis,Animalia,Brevoortia tyrannus,Animalia,,,,,
Larus smithsonianus,Animalia,Brevoortia tyrannus,Animalia,,,,,
Pandion haliaetus,Animalia,Brevoortia tyrannus,Animalia,,,,,
Abantis paradisea,Animalia,Bridelia micrantha,Plantae,,,,,
Eccopsis incultana,Animalia,Bridelia micrantha,Plantae,,,,,
Phacochoerus africanus sundevallii,Animalia,Bridelia micrantha,Plantae,,,,,
Pseudonacaduba sichela sichela,Animalia,Bridelia micrantha,Plantae,,,,,
Ptyelus grossus,Animalia,Bridelia micrantha,Plantae,,,,,
Bucephala clangula,Animalia,Bucephala clangula,Animalia,,,,,
Papilio aegeus,Animalia,Buddleja,Plantae,,,,,
Natrix helvetica,Animalia,Bufo bufo,Animalia,,,,,
Apis mellifera scutellata,Animalia,Bulbine frutescens,Plantae,,,,,
Cirina forda,Animalia,Burkea africana,Plantae,,,,,
Larus smithsonianus,Animalia,Busycon carica,Animalia,,,,,
Triplofusus giganteus,Animalia,Busycon carica,Animalia,,,,,
Passer domesticus,Animalia,Cabera,Animalia,,,,,
Thomisus onustus,Animalia,Cacyreus marshalli,Animalia,,,,,
Argiope aurantia,Animalia,Caelifera,Animalia,,,,,
Coleomegilla maculata,Animalia,Caenis,Animalia,,,,,
Apis mellifera,Animalia,Cakile maritima,Plantae,,,,,
Numenius phaeopus,Animalia,Callianassidae,Animalia,,,,,
Sciurus carolinensis,Animalia,Callicarpa americana,Plantae,,,,,
Steatoda nobilis,Animalia,Callimus cyanipennis,Animalia,,,,,
Lepisosteus oculatus,Animalia,Callinectes,Animalia,,,,,
Larus marinus,Animalia,Callinectes sapidus,Animalia,,,,,
Larus smithsonianus,Animalia,Callinectes sapidus,Animalia,,,,,
Leucophaeus atricilla,Animalia,Callinectes sapidus,Animalia,,,,,
Efferia aestuans,Animalia,Calliphoridae,Animalia,,,,,
Enicospilus glabratus,Animalia,Callosamia promethea,Animalia,,,,,
Trichodes ornatus,Animalia,Calochortus excavatus,Plantae,,,,,
Neoscona arabesca,Animalia,Calopteryx maculata,Animalia,,,,,
Calopteryx maculata,Animalia,Calopteryx maculata,Animalia,,,,,
Spilostethus pandurus,Animalia,Calotropis procera,Plantae,,,,,
Eurema lisa,Animalia,Calyptocarpus vialis,Plantae,,,,,
Lygaeus turcicus,Animalia,Calyptratae,Animalia,,,,,
Synanthedon chrysidipennis,Animalia,Calyptridium,Plantae,,,,,
Bombus melanopygus,Animalia,Camassia,Plantae,,,,,
Bombus hypnorum,Animalia,Campanula poscharskyana,Plantae,,,,,
Thomisus blandus,Animalia,Camponotus,Animalia,,,,,
Nesticodes rufipes,Animalia,Camponotus atriceps,Animalia,,,,,
Mexcala elegans,Animalia,Camponotus cinctellus,Animalia,,,,,
Ardea herodias,Animalia,Campostoma oligolepis,Animalia,,,,,
Araneus diadematus,Animalia,Camptogramma bilineata,Animalia,,,,,
Sphex nudus,Animalia,Camptonotus carolinensis,Animalia,,,,,
Hycleus oculatus,Animalia,Canavalia bonariensis,Plantae,,,,,
Gavia immer,Animalia,Cancer irroratus,Animalia,,,,,
Corvus brachyrhynchos,Animalia,Cancer productus,Animalia,,,,,
Larus glaucescens,Animalia,Cancer productus,Animalia,,,,,
Larus glaucescens Ã— occidentalis,Animalia,Cancer productus,Animalia,,,,,
Pisaster ochraceus,Animalia,Cancer productus,Animalia,,,,,
Coragyps atratus,Animalia,Canis familiaris,Animalia,,,,,
Allograpta obliqua,Animalia,Capsella bursa-pastoris,Plantae,,,,,
Toxomerus marginatus,Animalia,Capsella bursa-pastoris,Plantae,,,,,
Coracias garrulus semenowi,Animalia,Carabidae,Animalia,,,,,
Larus mongolicus,Animalia,Carassius auratus,Animalia,,,,,
Cathartes aura,Animalia,Carcharodon carcharias,Animalia,,,,,
Gavia immer,Animalia,Carcinus maenas,Animalia,,,,,
Larus argentatus,Animalia,Carcinus maenas,Animalia,,,,,
Larus marinus,Animalia,Carcinus maenas,Animalia,,,,,
Larus smithsonianus,Animalia,Carcinus maenas,Animalia,,,,,
Melanitta fusca,Animalia,Carcinus maenas,Animalia,,,,,
Somateria mollissima,Animalia,Carcinus maenas,Animalia,,,,,
Anthocharis cardamines,Animalia,Cardamine pratensis,Plantae,,,,,
Cauchas rufimitrella,Animalia,Cardamine pratensis,Plantae,,,,,
Corgatha wojtusiaki,Animalia,Cardiospermum grandiflorum,Plantae,,,,,
Vespula germanica,Animalia,Carduelis carduelis,Animalia,,,,,
Spinus psaltria,Animalia,Carduoideae,Plantae,,,,,
Bombus centralis,Animalia,Carduus nutans,Plantae,,,,,
Bombus flavifrons,Animalia,Carduus nutans,Plantae,,,,,
Euphoria inda,Animalia,Carduus nutans,Plantae,,,,,
Helicoverpa zea,Animalia,Carduus nutans,Plantae,,,,,
Platycryptus undatus,Animalia,Cariblatta minima,Animalia,,,,,
Ardea alba,Animalia,Caridea,Animalia,,,,,
Himantopus mexicanus,Animalia,Caridea,Animalia,,,,,
Colius striatus,Animalia,Cascabela thevetia,Plantae,,,,,
Crinifer concolor,Animalia,Cascabela thevetia,Plantae,,,,,
Bombus kirbiellus,Animalia,Castilleja occidentalis,Plantae,,,,,
Canis latrans,Animalia,Castor canadensis,Animalia,,,,,
Rhynocoris segmentarius,Animalia,Catantopinae,Animalia,,,,,
Anthene amarah,Animalia,Catharanthus roseus,Plantae,,,,,
Anthene amarah amarah,Animalia,Catharanthus roseus,Plantae,,,,,
Papilio demodocus,Animalia,Catharanthus roseus,Plantae,,,,,
Papilio demodocus demodocus,Animalia,Catharanthus roseus,Plantae,,,,,
Mniotilta varia,Animalia,Catocala vidua,Animalia,,,,,
Bombus melanopygus,Animalia,Ceanothus,Plantae,,,,,
Typocerus zebra,Animalia,Ceanothus americanus,Plantae,,,,,
Ardea herodias,Animalia,Cebidichthys violaceus,Animalia,,,,,
Nannopterum auritum,Animalia,Cebidichthys violaceus,Animalia,,,,,
Misumenini,Animalia,Cecropterus dorantes dorantes,Animalia,,,,,
Thomisus onustus,Animalia,Celastrina argiolus,Animalia,,,,,
Sialia sialis,Animalia,Celastrus orbiculatus,Plantae,,,,,
Acanthepeira stellata,Animalia,Celithemis eponina,Animalia,,,,,
Erythemis simplicicollis,Animalia,Celithemis fasciata,Animalia,,,,,
Aceria camdeboo,Animalia,Celtis africana,Plantae,,,,,
Columba arquatrix,Animalia,Celtis africana,Plantae,,,,,
Pachypsylla venusta,Animalia,Celtis laevigata,Plantae,,,,,
Pachypsylla venusta,Animalia,Celtis occidentalis,Plantae,,,,,
Spermestes cucullata,Animalia,Cenchrus,Plantae,,,,,
Cupido comyntas,Animalia,Centaurea,Plantae,,,,,
Lon zabulon,Animalia,Centaurea,Plantae,,,,,
Carduelis carduelis,Animalia,Centaurea jacea,Plantae,,,,,
Bombus lapidarius,Animalia,Centaurea nigra,Plantae,,,,,
Carduelis carduelis,Animalia,Centaurea nigra,Plantae,,,,,
Zygaena filipendulae,Animalia,Centaurea nigra,Plantae,,,,,
Larinus curtus,Animalia,Centaurea solstitialis,Plantae,,,,,
Ochlodes sylvanoides,Animalia,Centaurea solstitialis,Plantae,,,,,
Apis mellifera,Animalia,Centaurea stoebe,Plantae,,,,,
Lybius torquatus,Animalia,Centrobolus richardi,Animalia,,,,,
Lybius torquatus torquatus,Animalia,Centrobolus richardi,Animalia,,,,,
Helicoverpa armigera,Animalia,Cephalaria leucantha,Plantae,,,,,
Vicirionessa mustela,Animalia,Cephalochrysa calopa,Animalia,,,,,
Microhierax fringillarius,Animalia,Cephonodes hylas,Animalia,,,,,
Batis capensis capensis,Animalia,Cerambycidae,Animalia,,,,,
Arion fuscus,Animalia,Cerioporus squamosus,Fungi,,,,,
Larus glaucescens,Animalia,Cerorhinca monocerata,Animalia,,,,,
Cathartes aura,Animalia,Cervus canadensis,Animalia,,,,,
Gyps fulvus,Animalia,Cervus elaphus,Animalia,,,,,
Cathartes aura,Animalia,Cetacea,Animalia,,,,,
Falco naumanni,Animalia,Chalcides chalcides,Animalia,,,,,
Acridotheres tristis,Animalia,Chalcides ocellatus,Animalia,,,,,
Phidippus audax,Animalia,Chalcidoidea,Animalia,,,,,
Tetragnatha laboriosa,Animalia,Chalcidoidea,Animalia,,,,,
Eurema brigitta brigitta,Animalia,Chamaecrista plumosa,Plantae,,,,,
Botaurus sinensis,Animalia,Channoidei,Animalia,,,,,
Platycryptus undatus,Animalia,Chaoboridae,Animalia,,,,,
Falco peregrinus,Animalia,Charadrius vociferus,Animalia,,,,,
Vireo griseus,Animalia,Chauliodes,Animalia,,,,,
Sialia sialis,Animalia,Chauliodinae,Animalia,,,,,
Dinocampus coccinellae,Animalia,Cheilomenes bidentata,Animalia,,,,,
Sula leucogaster plotus,Animalia,Cheilopogon abei,Animalia,,,,,
Alligator mississippiensis,Animalia,Chelydra serpentina,Animalia,,,,,
Terrapene carolina,Animalia,Chicobolus spinigerus,Animalia,,,,,
Terrapene carolina bauri,Animalia,Chicobolus spinigerus,Animalia,,,,,
Acanthepeira stellata,Animalia,Chinavia hilaris,Animalia,,,,,
Philothamnus semivariegatus,Animalia,Chiromantis xerampelina,Animalia,,,,,
Scopus umbretta,Animalia,Chiromantis xerampelina,Animalia,,,,,
Scopus umbretta umbretta,Animalia,Chiromantis xerampelina,Animalia,,,,,
Araneus detrimentosus,Animalia,Chironomidae,Animalia,,,,,
Platycryptus undatus,Animalia,Chironomidae,Animalia,,,,,
Salticus scenicus,Animalia,Chironomidae,Animalia,,,,,
Solenopsis invicta,Animalia,Chloridea virescens,Animalia,,,,,
Crithagra sulphurata wilsoni,Animalia,Chloris,Plantae,,,,,
Anoplolepis custodiens,Animalia,Chlorocebus pygerythrus pygerythrus,Animalia,,,,,
Falco sparverius,Animalia,Choeradodis rhombicollis,Animalia,,,,,
Dioctria hyalipennis,Animalia,Chorisops,Animalia,,,,,
Argiope bruennichi,Animalia,Chorthippus,Animalia,,,,,
Afrogegenes,Animalia,Chromolaena odorata,Plantae,,,,,
Belenois creona severina,Animalia,Chromolaena odorata,Plantae,,,,,
Delta fenestrale,Animalia,Chromolaena odorata,Plantae,,,,,
Mylothris agathina agathina,Animalia,Chromolaena odorata,Plantae,,,,,
Telchinia serena,Animalia,Chromolaena odorata,Plantae,,,,,
Steatoda triangulosa,Animalia,Chrysis angolensis,Animalia,,,,,
Tyto alba,Animalia,Chrysochloris asiatica,Animalia,,,,,
Tyto alba poensis,Animalia,Chrysochloris asiatica,Animalia,,,,,
Menemerus semilimbatus,Animalia,Chrysocrambus linetella,Animalia,,,,,
Spilornis holospilus,Animalia,Chrysopelea paradisi,Animalia,,,,,
Nuctenea umbratica,Animalia,Chrysoperla carnea,Animalia,,,,,
Phidippus audax,Animalia,Chrysopidae,Animalia,,,,,
Cyrtophora citricola,Animalia,Cicada barbara,Animalia,,,,,
Ceriagrion glabrum,Animalia,Cicadellidae,Animalia,,,,,
Merops persicus,Animalia,Cicadidae,Animalia,,,,,
Ictinia mississippiensis,Animalia,Cicadoidea,Animalia,,,,,
Sceloporus olivaceus,Animalia,Cicadoidea,Animalia,,,,,
Sphecius speciosus,Animalia,Cicadoidea,Animalia,,,,,
Tigrisoma lineatum,Animalia,Cichlasoma dimerus,Animalia,,,,,
Pandion haliaetus,Animalia,Cichlidae,Animalia,,,,,
Agapostemon virescens,Animalia,Cichorium intybus,Plantae,,,,,
Spinus psaltria,Animalia,Cichorium intybus,Plantae,,,,,
Toxomerus marginatus,Animalia,Cichorium intybus,Plantae,,,,,
Pycnonotus finlaysoni,Animalia,Cinnamomum,Plantae,,,,,
Anhinga novaehollandiae,Animalia,Cirripectes hutchinsi,Animalia,,,,,
Apis mellifera,Animalia,Cirsium arvense,Plantae,,,,,
Bombus hypnorum,Animalia,Cirsium arvense,Plantae,,,,,
Chlorophorus varius,Animalia,Cirsium arvense,Plantae,,,,,
Lygus lineolaris,Animalia,Cirsium arvense,Plantae,,,,,
Oligia fasciuncula,Animalia,Cirsium arvense,Plantae,,,,,
Pieris rapae,Animalia,Cirsium arvense,Plantae,,,,,
Polistes dominula,Animalia,Cirsium arvense,Plantae,,,,,
Rhagonycha fulva,Animalia,Cirsium arvense,Plantae,,,,,
Vanessa cardui,Animalia,Cirsium arvense,Plantae,,,,,
Zygaena filipendulae,Animalia,Cirsium arvense,Plantae,,,,,
Apis mellifera,Animalia,Cirsium horridulum,Plantae,,,,,
Bombus sonorus,Animalia,Cirsium neomexicanum,Plantae,,,,,
Autographa gamma,Animalia,Cirsium spinosissimum,Plantae,,,,,
Bombus mucidus,Animalia,Cirsium spinosissimum,Plantae,,,,,
Agapostemon subtilior,Animalia,Cirsium vulgare,Plantae,,,,,
Argynnis cybele,Animalia,Cirsium vulgare,Plantae,,,,,
Bombus griseocollis,Animalia,Cirsium vulgare,Plantae,,,,,
Lon melane,Animalia,Cirsium vulgare,Plantae,,,,,
Papilio multicaudata,Animalia,Cirsium vulgare,Plantae,,,,,
Papilio multicaudata multicaudata,Animalia,Cirsium vulgare,Plantae,,,,,
Spinus tristis,Animalia,Cirsium vulgare,Plantae,,,,,
Colius striatus,Animalia,Citharexylum spinosum,Plantae,,,,,
Eriboea guderiana,Animalia,Citharexylum spinosum,Plantae,,,,,
Eristalinus barclayi,Animalia,Citharexylum spinosum,Plantae,,,,,
Gallirex porphyreolophus,Animalia,Citharexylum spinosum,Plantae,,,,,
Lamprotornis chalybaeus,Animalia,Citharexylum spinosum,Plantae,,,,,
Phytomia incisa,Animalia,Citharexylum spinosum,Plantae,,,,,
Pycnonotus barbatus,Animalia,Citharexylum spinosum,Plantae,,,,,
Pycnonotus barbatus layardi,Animalia,Citharexylum spinosum,Plantae,,,,,
Pycnonotus barbatus tricolor,Animalia,Citharexylum spinosum,Plantae,,,,,
Ardea herodias,Animalia,Citharichthys sordidus,Animalia,,,,,
Aspavia pallidispina,Animalia,Citrullus lanatus,Plantae,,,,,
Choristoneura heliaspis,Animalia,Citrus Ã— limon,Plantae,,,,,
Papilio nireus lyaeus,Animalia,Citrus Ã— limon,Plantae,,,,,
Sympetrum sanguineum,Animalia,Cixius,Animalia,,,,,
Egretta caerulea,Animalia,Clarias batrachus,Animalia,,,,,
Ardea cinerea,Animalia,Clarias gariepinus,Animalia,,,,,
Ardea cinerea cinerea,Animalia,Clarias gariepinus,Animalia,,,,,
Ardeola ralloides,Animalia,Clarias gariepinus,Animalia,,,,,
Crocodylus niloticus,Animalia,Clarias gariepinus,Animalia,,,,,
Crocodylus niloticus cowiei,Animalia,Clarias gariepinus,Animalia,,,,,
Misumena vatia,Animalia,Clastoptera obtusa,Animalia,,,,,
Holocnemus pluchei,Animalia,Clathroneuria schwarzi,Animalia,,,,,
Papilio nireus,Animalia,Clausena anisata,Plantae,,,,,
Papilio nireus lyaeus,Animalia,Clausena anisata,Plantae,,,,,
Eristalis anthophorina,Animalia,Claytonia perfoliata,Plantae,,,,,
Strepera graculina,Animalia,Clemacantha goliath,Animalia,,,,,
Popillia japonica,Animalia,Cleome houtteana,Plantae,,,,,
Formica obscuripes,Animalia,Cleomella serrulata,Plantae,,,,,
Lapposyrphus lapponicus,Animalia,Cleomella serrulata,Plantae,,,,,
Felis catus,Animalia,Clethrionomys glareolus,Animalia,,,,,
Larus glaucescens Ã— occidentalis,Animalia,Clinocardium nuttallii,Animalia,,,,,
Brachycerus labrusca,Animalia,Clivia miniata miniata,Plantae,,,,,
Coracias garrulus semenowi,Animalia,Clonia assimilis,Animalia,,,,,
Ardea herodias,Animalia,Clupea pallasii,Animalia,,,,,
Leiocephalus carinatus,Animalia,Coccoloba uvifera,Plantae,,,,,
Encyrtinae,Animalia,Coccophaginae,Animalia,,,,,
Crematogaster castanea,Animalia,Coccus hesperidum,Animalia,,,,,
Coragyps atratus,Animalia,Cocos nucifera,Plantae,,,,,
Coragyps atratus brasiliensis,Animalia,Cocos nucifera,Plantae,,,,,
Tragelaphus angasii,Animalia,Coddia rudis,Plantae,,,,,
Cuculus clamosus,Animalia,Coelonia fulvinotata,Animalia,,,,,
Marpissa muscosa,Animalia,Coenosia,Animalia,,,,,
Salticus scenicus,Animalia,Coenosia,Animalia,,,,,
Astur cooperii,Animalia,Colaptes auratus,Animalia,,,,,
Falco peregrinus,Animalia,Colaptes auratus,Animalia,,,,,
Falco peregrinus anatum,Animalia,Colaptes auratus,Animalia,,,,,
Astur cooperii,Animalia,Colaptes auratus luteus,Animalia,,,,,
Libellula luctuosa,Animalia,Coleomegilla maculata,Animalia,,,,,
Buteo lineatus,Animalia,Coleoptera,Animalia,,,,,
Camponotus vagus,Animalia,Coleoptera,Animalia,,,,,
Dendropicos griseocephalus griseocephalus,Animalia,Coleoptera,Animalia,,,,,
Lanius ludovicianus,Animalia,Coleoptera,Animalia,,,,,
Motacilla alba,Animalia,Coleoptera,Animalia,,,,,
Sialia sialis,Animalia,Coleoptera,Animalia,,,,,
Sturnus vulgaris,Animalia,Coleoptera,Animalia,,,,,
Trichonephila clavata,Animalia,Coleoptera,Animalia,,,,,
Upupa epops,Animalia,Coleoptera,Animalia,,,,,
Loxosceles reclusa,Animalia,Colobopsis impressa,Animalia,,,,,
Loxodonta africana,Animalia,Colophospermum mopane,Plantae,,,,,
Corvus orru,Animalia,Columba livia,Animalia,,,,,
Larus michahellis,Animalia,Columba livia,Animalia,,,,,
Accipiter nisus,Animalia,Columba livia domestica,Animalia,,,,,
Astur melanoleucus,Animalia,Columba livia domestica,Animalia,,,,,
Corvus corax,Animalia,Columba livia domestica,Animalia,,,,,
Larus glaucescens Ã— occidentalis,Animalia,Columba livia domestica,Animalia,,,,,
Pica hudsonia,Animalia,Columba livia domestica,Animalia,,,,,
Canis familiaris,Animalia,Columbidae,Animalia,,,,,
Stugeta bowkeri,Animalia,Combretum microphyllum,Plantae,,,,,
Leucocelis amethystina,Animalia,Combretum molle,Plantae,,,,,
Petascelis remipes,Animalia,Combretum molle,Plantae,,,,,
Papilio nireus,Animalia,Combretum paniculatum,Plantae,,,,,
Apis mellifera,Animalia,Commelina,Plantae,,,,,
Telchinia encedon encedon,Animalia,Commelina benghalensis,Plantae,,,,,
Toxomerus marginatus,Animalia,Commelina erecta,Plantae,,,,,
Salticus scenicus,Animalia,Condylostylus caudatus,Animalia,,,,,
Peucetia viridans,Animalia,Condylostylus mundus,Animalia,,,,,
Halichoerus grypus,Animalia,Conger conger,Animalia,,,,,
Halichoerus grypus atlantica,Animalia,Conger conger,Animalia,,,,,
Crocodylus niloticus,Animalia,Connochaetes taurinus mearnsi,Animalia,,,,,
Panthera leo,Animalia,Connochaetes taurinus mearnsi,Animalia,,,,,
Panthera leo melanochaita,Animalia,Connochaetes taurinus mearnsi,Animalia,,,,,
Trachyphonus vaillantii vaillantii,Animalia,Connochaetes taurinus taurinus,Animalia,,,,,
Otospermophilus beecheyi,Animalia,Convolvulus,Plantae,,,,,
Halictus confusus,Animalia,Convolvulus arvensis,Plantae,,,,,
Hylephila phyleus,Animalia,Convolvulus arvensis,Plantae,,,,,
Toxomerus marginatus,Animalia,Convolvulus arvensis,Plantae,,,,,
Sciurus carolinensis,Animalia,Coprinopsis lagopus,Fungi,,,,,
Aramus guarauna,Animalia,Corbicula fluminea,Animalia,,,,,
Ondatra zibethicus,Animalia,Corbicula fluminea,Animalia,,,,,
Dysmachus trigonus,Animalia,Cordylepherus viridis,Animalia,,,,,
Halcyon albiventris albiventris,Animalia,Coreidae,Animalia,,,,,
Turdus philomelos,Animalia,Cornu aspersum,Animalia,,,,,
Pica hudsonia,Animalia,Cornus sericea,Plantae,,,,,
Haliaeetus leucocephalus,Animalia,Corvus brachyrhynchos,Animalia,,,,,
Elanus axillaris,Animalia,Corvus coronoides coronoides,Animalia,,,,,
Apis mellifera,Animalia,Cosmos bipinnatus,Plantae,,,,,
Eristalis tenax,Animalia,Cosmos bipinnatus,Plantae,,,,,
Nathalis iole,Animalia,Cosmos bipinnatus,Plantae,,,,,
Scaeva affinis,Animalia,Cosmos bipinnatus,Plantae,,,,,
Quiscalus quiscula,Animalia,Cotinis nitida,Animalia,,,,,
Cletoliturus lituripennis,Animalia,Cotoneaster pannosus,Plantae,,,,,
Senaspis haemorrhoa,Animalia,Cotoneaster pannosus,Plantae,,,,,
Stenocoris apicalis,Animalia,Cotoneaster pannosus,Plantae,,,,,
Ardea herodias,Animalia,Cottoidei,Animalia,,,,,
Nerodia sipedon,Animalia,Cottus bairdii,Animalia,,,,,
Salmo trutta,Animalia,Cottus gobio,Animalia,,,,,
Anolis roquet,Animalia,Crassiclitellata,Animalia,,,,,
Rallus limicola,Animalia,Crassiclitellata,Animalia,,,,,
Turdus migratorius,Animalia,Crassiclitellata,Animalia,,,,,
Belonogaster juncea,Animalia,Crassula multicava,Plantae,,,,,
Harmonia axyridis,Animalia,Crassula multicava,Plantae,,,,,
Bombus hypnorum,Animalia,Crataegus monogyna,Plantae,,,,,
Cyanistes caeruleus,Animalia,Crataegus monogyna,Plantae,,,,,
Lynx rufus fasciatus,Animalia,Cricetidae,Animalia,,,,,
Aerospiza tachiro,Animalia,Crinifer concolor,Animalia,,,,,
Camponotus ocreatus,Animalia,Crinocheta,Animalia,,,,,
Brithys crini,Animalia,Crinum,Plantae,,,,,
Papilio aegeus aegeus,Animalia,Crocosmia,Plantae,,,,,
Gyps africanus,Animalia,Crocuta crocuta,Animalia,,,,,
Leptoptilos crumenifer,Animalia,Crocuta crocuta,Animalia,,,,,
Xylocopa nigrita,Animalia,Crotalaria capensis,Plantae,,,,,
Anoplocnemis curvipes,Animalia,Crotalaria ochroleuca,Plantae,,,,,
Corvus corax,Animalia,Crotalus oreganus oreganus,Animalia,,,,,
