scientific_name,common_name,iconic_taxon_name,taxon_kingdom,taxon_species,taxon_phylum,taxon_subphylum,taxon_superclass,taxon_class,taxon_subclass,taxon_superorder,taxon_order,taxon_suborder,taxon_superfamily,taxon_family,taxon_subfamily,taxon_supertribe,taxon_tribe,taxon_subtribe,taxon_genus,taxon_genushybrid,taxon_hybrid,taxon_subspecies,taxon_variety,taxon_form
Brunneria borealis,Northern Grass Mantis,Insecta,Animalia,Brunneria borealis,Arthropoda,Hexapoda,,Insecta,Pterygota,,Mantodea,Eumantodea,Acanthopoidea,Coptopterygidae,,,,,Brunneria,,,,,
Bucephala albeola,Bufflehead,Aves,Animalia,Bucephala albeola,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,,,,Bucephala,,,,,
Bucephala clangula,Common Goldeneye,Aves,Animalia,Bucephala clangula,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,,,,Bucephala,,,,,
Bucorvus leadbeateri,Southern Ground Hornbill,Aves,Animalia,Bucorvus leadbeateri,Chordata,Vertebrata,,Aves,,,Bucerotiformes,,,Bucerotidae,,,,,Bucorvus,,,,,
Buddleja cordata,tepozan,Plantae,Plantae,Buddleja cordata,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Scrophulariaceae,,,Buddlejeae,,Buddleja,,,,,
Bufo bufo,European Toad,Amphibia,Animalia,Bufo bufo,Chordata,Vertebrata,,Amphibia,,,Anura,,,Bufonidae,,,,,Bufo,,,,,
Bunaea alcinoe,Cabbage Tree Emperor,Insecta,Animalia,Bunaea alcinoe,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Bombycoidea,Saturniidae,Saturniinae,,Bunaeini,,Bunaea,,,,,
Burkea africana,wild syringa,Plantae,Plantae,Burkea africana,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,Fabaceae,Caesalpinioideae,,,,Burkea,,,,,
Busycon carica,Knobbed Whelk,Mollusca,Animalia,Busycon carica,Mollusca,,,Gastropoda,Caenogastropoda,,Neogastropoda,,Buccinoidea,Busyconidae,Busyconinae,,,,Busycon,,,,,
Buteo jamaicensis,Red-tailed Hawk,Aves,Animalia,Buteo jamaicensis,Chordata,Vertebrata,,Aves,,,Accipitriformes,,,Accipitridae,Buteoninae,,,,Buteo,,,,,
Buteo lineatus,Red-shouldered Hawk,Aves,Animalia,Buteo lineatus,Chordata,Vertebrata,,Aves,,,Accipitriformes,,,Accipitridae,Buteoninae,,,,Buteo,,,,,
Byblia anvatara,African Joker,Insecta,Animalia,Byblia anvatara,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Papilionoidea,Nymphalidae,Biblidinae,,Biblidini,,Byblia,,,,,
Bycanistes bucinator,Trumpeter Hornbill,Aves,Animalia,Bycanistes bucinator,Chordata,Vertebrata,,Aves,,,Bucerotiformes,,,Bucerotidae,,,,,Bycanistes,,,,,
Cacyreus marshalli,Common Geranium-bronze,Insecta,Animalia,Cacyreus marshalli,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Papilionoidea,Lycaenidae,Polyommatinae,,Polyommatini,Cacyreina,Cacyreus,,,,,
Caenocoris nerii,Oleander seedbug,Insecta,Animalia,Caenocoris nerii,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Lygaeoidea,Lygaeidae,Lygaeinae,,,,Caenocoris,,,,,
Cakile maritima,European Searocket,Plantae,Plantae,Cakile maritima,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,Brassicaceae,Brassicoideae,Brassicodae,Brassiceae,,Cakile,,,,,
Calidris alba,Sanderling,Aves,Animalia,Calidris alba,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Scolopacidae,,,,,Calidris,,,,,
Callicarpa americana,American beautyberry,Plantae,Plantae,Callicarpa americana,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Lamiaceae,Callicarpoideae,,,,Callicarpa,,,,,
Callinectes sapidus,Atlantic Blue Crab,Animalia,Animalia,Callinectes sapidus,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Portunoidea,Portunidae,Portuninae,,,,Callinectes,,,,,
Callistethus lubricus,,Insecta,Animalia,Callistethus lubricus,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Scarabaeoidea,Scarabaeidae,Rutelinae,,Anomalini,Anomalina,Callistethus,,,,,
Callosamia promethea,Promethea Silkmoth,Insecta,Animalia,Callosamia promethea,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Bombycoidea,Saturniidae,Saturniinae,,Attacini,,Callosamia,,,,,
Calochortus excavatus,Inyo star-tulip,Plantae,Plantae,Calochortus excavatus,Tracheophyta,Angiospermae,,Liliopsida,,,Liliales,,,Liliaceae,Calochortoideae,,,,Calochortus,,,,,
Calodiplosis parinarii,Mobola Stem Gall Midge,Insecta,Animalia,Calodiplosis parinarii,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Nematocera,Sciaroidea,Cecidomyiidae,Cecidomyiinae,Cecidomyiidi,,,Calodiplosis,,,,,
Calopteryx maculata,Ebony Jewelwing,Insecta,Animalia,Calopteryx maculata,Arthropoda,Hexapoda,,Insecta,Pterygota,,Odonata,Zygoptera,Calopterygoidea,Calopterygidae,,,,,Calopteryx,,,,,
Calotes versicolor,Oriental Garden Lizard,Reptilia,Animalia,Calotes versicolor,Chordata,Vertebrata,,Reptilia,,,Squamata,Sauria,,Agamidae,Draconinae,,,,Calotes,,,,,
Calotropis procera,giant milkweed,Plantae,Plantae,Calotropis procera,Tracheophyta,Angiospermae,,Magnoliopsida,,,Gentianales,,,Apocynaceae,Asclepiadoideae,,Asclepiadeae,Asclepiadinae,Calotropis,,,,,
Calyptocarpus vialis,straggler daisy,Plantae,Plantae,Calyptocarpus vialis,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,,Heliantheae,Ecliptinae,Calyptocarpus,,,,,
Camassia,camas,Plantae,Plantae,,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Asparagaceae,Agavoideae,,,,Camassia,,,,,
Campanula poscharskyana,Trailing bellflower,Plantae,Plantae,Campanula poscharskyana,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Campanulaceae,Campanuloideae,,,,Campanula,,,,,
Camponotus atriceps,Tropical Carpenter Ant,Insecta,Animalia,Camponotus atriceps,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Formicoidea,Formicidae,Formicinae,,Camponotini,,Camponotus,,,,,
Camponotus chrysurus,,Insecta,Animalia,Camponotus chrysurus,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Formicoidea,Formicidae,Formicinae,,Camponotini,,Camponotus,,,,,
Camponotus cinctellus,Shiny sugar ant,Insecta,Animalia,Camponotus cinctellus,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Formicoidea,Formicidae,Formicinae,,Camponotini,,Camponotus,,,,,
Camponotus cruentatus,Blood-spotted Sugar Ant,Insecta,Animalia,Camponotus cruentatus,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Formicoidea,Formicidae,Formicinae,,Camponotini,,Camponotus,,,,,
Camponotus etiolipes,Long-legged Sugar Ant,Insecta,Animalia,Camponotus etiolipes,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Formicoidea,Formicidae,Formicinae,,Camponotini,,Camponotus,,,,,
Camponotus maculatus,Spotted Sugar Ant,Insecta,Animalia,Camponotus maculatus,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Formicoidea,Formicidae,Formicinae,,Camponotini,,Camponotus,,,,,
Camponotus pennsylvanicus,Eastern Black Carpenter Ant,Insecta,Animalia,Camponotus pennsylvanicus,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Formicoidea,Formicidae,Formicinae,,Camponotini,,Camponotus,,,,,
Camponotus rubrithorax,,Insecta,Animalia,Camponotus rubrithorax,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Formicoidea,Formicidae,Formicinae,,Camponotini,,Camponotus,,,,,
Campostoma oligolepis,Largescale Stoneroller,Actinopterygii,Animalia,Campostoma oligolepis,Chordata,Vertebrata,,Actinopterygii,,Ostariophysi,Cypriniformes,Cyprinoidei,,Leuciscidae,Pogonichthyinae,,,,Campostoma,,,,,
Camptogramma bilineata,Yellow Shell Moth,Insecta,Animalia,Camptogramma bilineata,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Geometroidea,Geometridae,Larentiinae,,Xanthorhoini,,Camptogramma,,,,,
Camptonotus carolinensis,Carolina Leafroller Cricket,Insecta,Animalia,Camptonotus carolinensis,Arthropoda,Hexapoda,,Insecta,Pterygota,,Orthoptera,Ensifera,Stenopelmatoidea,Gryllacrididae,Gryllacridinae,,Gryllacridini,,Camptonotus,,,,,
Canavalia bonariensis,,Plantae,Plantae,Canavalia bonariensis,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,Fabaceae,Faboideae,,Diocleae,,Canavalia,,,,,
Cancer productus,Red Rock Crab,Animalia,Animalia,Cancer productus,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Cancroidea,Cancridae,,,,,Cancer,,,,,
Canis familiaris,Domestic Dog,Mammalia,Animalia,Canis familiaris,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Canidae,,,,,Canis,,,,,
Canis latrans,Coyote,Mammalia,Animalia,Canis latrans,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Canidae,,,,,Canis,,,,,
Capsella bursa-pastoris,shepherd's-purse,Plantae,Plantae,Capsella bursa-pastoris,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,Brassicaceae,Brassicoideae,Camelinodae,Camelineae,,Capsella,,,,,
Capys antalus,Brown Playboy,Insecta,Animalia,Capys antalus,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Papilionoidea,Lycaenidae,Theclinae,,Deudorigini,,Capys,,,,,
Carassius auratus,Goldfish,Actinopterygii,Animalia,Carassius auratus,Chordata,Vertebrata,,Actinopterygii,,Ostariophysi,Cypriniformes,Cyprinoidei,,Cyprinidae,Cyprininae,,,,Carassius,,,,,
Carcharodon carcharias,Great White Shark,Animalia,Animalia,Carcharodon carcharias,Chordata,Vertebrata,,Chondrichthyes,Elasmobranchii,Galeomorphi,Lamniformes,,,Lamnidae,,,,,Carcharodon,,,,,
Carcinus maenas,European Green Crab,Animalia,Animalia,Carcinus maenas,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Portunoidea,Carcinidae,Carcininae,,,,Carcinus,,,,,
Cardamine pratensis,Cuckooflower,Plantae,Plantae,Cardamine pratensis,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,Brassicaceae,Brassicoideae,Camelinodae,Cardamineae,,Cardamine,,,,,
Cardinalis cardinalis,Northern Cardinal,Aves,Animalia,Cardinalis cardinalis,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Cardinalidae,,,,,Cardinalis,,,,,
Cardiospermum grandiflorum,Showy Balloon Vine,Plantae,Plantae,Cardiospermum grandiflorum,Tracheophyta,Angiospermae,,Magnoliopsida,,,Sapindales,,,Sapindaceae,,,,,Cardiospermum,,,,,
Carduelis carduelis,European Goldfinch,Aves,Animalia,Carduelis carduelis,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Fringillidae,,,,,Carduelis,,,,,
Carduus nutans,musk thistle,Plantae,Plantae,Carduus nutans,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Carduoideae,,Cardueae,Carduinae,Carduus,,,,,
Carterocephalus skada,Western Arctic Skipper,Insecta,Animalia,Carterocephalus skada,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Papilionoidea,Hesperiidae,Heteropterinae,,Heteropterini,,Carterocephalus,,,,,
Cascabela thevetia,Be-still tree,Plantae,Plantae,Cascabela thevetia,Tracheophyta,Angiospermae,,Magnoliopsida,,,Gentianales,,,Apocynaceae,Rauvolfioideae,,,,Cascabela,,,,,
Cassida granulicollis,,Insecta,Animalia,Cassida granulicollis,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Chrysomeloidea,Chrysomelidae,Cassidinae,,Cassidini,,Cassida,,,,,
Castilleja occidentalis,western paintbrush,Plantae,Plantae,Castilleja occidentalis,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Orobanchaceae,,,Pedicularideae,,Castilleja,,,,,
Castor canadensis,American Beaver,Mammalia,Animalia,Castor canadensis,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Castorimorpha,,Castoridae,,,,,Castor,,,,,
Catacroptera cloanthe,Pirate,Insecta,Animalia,Catacroptera cloanthe,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Papilionoidea,Nymphalidae,Nymphalinae,,Kallimini,,Catacroptera,,,,,
Catharanthus roseus,Madagascar Periwinkle,Plantae,Plantae,Catharanthus roseus,Tracheophyta,Angiospermae,,Magnoliopsida,,,Gentianales,,,Apocynaceae,Rauvolfioideae,,Vinceae,Catharanthinae,Catharanthus,,,,,
Cathartes aura,Turkey Vulture,Aves,Animalia,Cathartes aura,Chordata,Vertebrata,,Aves,,,Cathartiformes,,,Cathartidae,,,,,Cathartes,,,,,
Catharus guttatus,Hermit Thrush,Aves,Animalia,Catharus guttatus,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Turdidae,,,,,Catharus,,,,,
Catopsilia florella,African Migrant,Insecta,Animalia,Catopsilia florella,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Papilionoidea,Pieridae,Coliadinae,,Coliadini,Coliadina,Catopsilia,,,,,
Cauchas rufimitrella,Meadow Longhorn,Insecta,Animalia,Cauchas rufimitrella,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Adeloidea,Adelidae,Adelinae,,,,Cauchas,,,,,
Caulorhiza umbonata,Redwood Rooter,Fungi,Fungi,Caulorhiza umbonata,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Marasmiineae,,,,,,,Caulorhiza,,,,,
Causus rhombeatus,Rhombic Night Adder,Reptilia,Animalia,Causus rhombeatus,Chordata,Vertebrata,,Reptilia,,,Squamata,Serpentes,,Viperidae,Viperinae,,,,Causus,,,,,
Ceanothus americanus,New Jersey tea,Plantae,Plantae,Ceanothus americanus,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,Rhamnaceae,,,,,Ceanothus,,,,,
Cebidichthys violaceus,Monkey-faced Prickleback,Actinopterygii,Animalia,Cebidichthys violaceus,Chordata,Vertebrata,,Actinopterygii,,Acanthomorpha,Perciformes,Zoarcoidei,,Cebidichthyidae,,,,,Cebidichthys,,,,,
Cecidothyris pexa,,Insecta,Animalia,Cecidothyris pexa,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Thyridoidea,Thyrididae,Siculodinae,,,,Cecidothyris,,,,,
Cecropterus dorantes dorantes,,Insecta,Animalia,Cecropterus dorantes,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Papilionoidea,Hesperiidae,Eudaminae,,Eudamini,Eudamina,Cecropterus,,,Cecropterus dorantes dorantes,,
Celastrina echo,Echo Azure,Insecta,Animalia,Celastrina echo,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Papilionoidea,Lycaenidae,Polyommatinae,,Polyommatini,Celastrinina,Celastrina,,,,,
Celastrus orbiculatus,Oriental bittersweet,Plantae,Plantae,Celastrus orbiculatus,Tracheophyta,Angiospermae,,Magnoliopsida,,,Celastrales,,,Celastraceae,,,,,Celastrus,,,,,
Celithemis fasciata,Banded Pennant,Insecta,Animalia,Celithemis fasciata,Arthropoda,Hexapoda,,Insecta,Pterygota,,Odonata,Anisoptera,Libelluloidea,Libellulidae,,,,,Celithemis,,,,,
Celtis africana,White Stinkwood,Plantae,Plantae,Celtis africana,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,Cannabaceae,,,,,Celtis,,,,,
Celtis laevigata,sugar hackberry,Plantae,Plantae,Celtis laevigata,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,Cannabaceae,,,,,Celtis,,,,,
Celtis occidentalis,common hackberry,Plantae,Plantae,Celtis occidentalis,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,Cannabaceae,,,,,Celtis,,,,,
Cenaeus pectoralis,,Insecta,Animalia,Cenaeus pectoralis,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Pyrrhocoroidea,Pyrrhocoridae,,,,,Cenaeus,,,,,
Centaurea jacea,Brown Knapweed,Plantae,Plantae,Centaurea jacea,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Carduoideae,,Cardueae,Centaureinae,Centaurea,,,,,
Centaurea nigra,black knapweed,Plantae,Plantae,Centaurea nigra,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Carduoideae,,Cardueae,Centaureinae,Centaurea,,,,,
Centrobolus richardi,Richards Bay Red Millipede,Animalia,Animalia,Centrobolus richardi,Arthropoda,Myriapoda,,Diplopoda,Chilognatha,Juliformia,Spirobolida,Trigoniulidea,,Pachybolidae,Centrobolinae,,,,Centrobolus,,,,,
Centruroides gracilis,Slender Brown Scorpion,Arachnida,Animalia,Centruroides gracilis,Arthropoda,Chelicerata,,Arachnida,,,Scorpiones,Neoscorpionina,Buthoidea,Buthidae,,,,,Centruroides,,,,,
Cephalanthus occidentalis,buttonbush,Plantae,Plantae,Cephalanthus occidentalis,Tracheophyta,Angiospermae,,Magnoliopsida,,,Gentianales,,,Rubiaceae,Cinchonoideae,,Naucleeae,,Cephalanthus,,,,,
Cephalaria leucantha,,Plantae,Plantae,Cephalaria leucantha,Tracheophyta,Angiospermae,,Magnoliopsida,,,Dipsacales,,,Caprifoliaceae,Dipsacoideae,,,,Cephalaria,,,,,
Cephalophorus natalensis,Natal Duiker,Mammalia,Animalia,Cephalophorus natalensis,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Ruminantia,,Bovidae,Antilopinae,,Cephalophini,,Cephalophorus,,,Cephalophorus natalensis natalensis,,
Cephalophorus natalensis natalensis,Natal Duiker,Mammalia,Animalia,Cephalophorus natalensis,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Ruminantia,,Bovidae,Antilopinae,,Cephalophini,,Cephalophorus,,,Cephalophorus natalensis natalensis,,
Cephonodes hylas,Pellucid Hawkmoth,Insecta,Animalia,Cephonodes hylas,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Bombycoidea,Sphingidae,Macroglossinae,,Dilophonotini,Hemarina,Cephonodes,,,,,
Cepphus columba,Pigeon Guillemot,Aves,Animalia,Cepphus columba,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Alcidae,,,,,Cepphus,,,,,
Ceramica pisi,Broom Moth,Insecta,Animalia,Ceramica pisi,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Noctuidae,Noctuinae,,Hadenini,,Ceramica,,,,,
Cerataphis brasiliensis,palm aphid,Insecta,Animalia,Cerataphis brasiliensis,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Sternorrhyncha,Aphidoidea,Aphididae,Hormaphidinae,,Cerataphidini,,Cerataphis,,,,,
Ceratosolen capensis,,Insecta,Animalia,Ceratosolen capensis,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Chalcidoidea,Agaonidae,Kradibiinae,,,,Ceratosolen,,,,,
Cercopithecus mitis,White-throated Samango,Mammalia,Animalia,Cercopithecus mitis,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Primates,Haplorhini,,Cercopithecidae,Cercopithecinae,,Cercopithecini,,Cercopithecus,,,Cercopithecus mitis erythrarchus,,
Cercopithecus mitis erythrarchus,White-throated Samango,Mammalia,Animalia,Cercopithecus mitis,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Primates,Haplorhini,,Cercopithecidae,Cercopithecinae,,Cercopithecini,,Cercopithecus,,,Cercopithecus mitis erythrarchus,,
Cercospora atra,,Fungi,Fungi,Cercospora atra,Ascomycota,Pezizomycotina,,Dothideomycetes,Dothideomycetidae,,Mycosphaerellales,,,Mycosphaerellaceae,,,,,Cercospora,,,,,
Ceriagrion coromandelianum,Coromandel Marsh Dart,Insecta,Animalia,Ceriagrion coromandelianum,Arthropoda,Hexapoda,,Insecta,Pterygota,,Odonata,Zygoptera,Coenagrionoidea,Coenagrionidae,,,,,Ceriagrion,,,,,
Ceriagrion glabrum,Common Citril,Insecta,Animalia,Ceriagrion glabrum,Arthropoda,Hexapoda,,Insecta,Pterygota,,Odonata,Zygoptera,Coenagrionoidea,Coenagrionidae,,,,,Ceriagrion,,,,,
Ceroctis trifurca,,Insecta,Animalia,Ceroctis trifurca,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Tenebrionoidea,Meloidae,Meloinae,,Mylabrini,,Ceroctis,,,,,
Cerurina marshalli,,Insecta,Animalia,Cerurina marshalli,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Notodontidae,Cerurinae,,,,Cerurina,,,,,
Cervus elaphus,Red Deer,Mammalia,Animalia,Cervus elaphus,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Ruminantia,,Cervidae,Cervinae,,Cervini,,Cervus,,,,,
Chalcides chalcides,Italian Three-toed Skink,Reptilia,Animalia,Chalcides chalcides,Chordata,Vertebrata,,Reptilia,,,Squamata,Sauria,,Scincidae,Scincinae,,,,Chalcides,,,,,
Chalcides ocellatus,Ocellated Bronze Skink,Reptilia,Animalia,Chalcides ocellatus,Chordata,Vertebrata,,Reptilia,,,Squamata,Sauria,,Scincidae,Scincinae,,,,Chalcides,,,,,
Chalcomitra senegalensis,Southern Scarlet-chested Sunbird,Aves,Animalia,Chalcomitra senegalensis,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Nectariniidae,,,,,Chalcomitra,,,Chalcomitra senegalensis gutturalis,,
Chalcomitra senegalensis gutturalis,Southern Scarlet-chested Sunbird,Aves,Animalia,Chalcomitra senegalensis,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Nectariniidae,,,,,Chalcomitra,,,Chalcomitra senegalensis gutturalis,,
Charadrius vociferus,Killdeer,Aves,Animalia,Charadrius vociferus,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Charadriidae,,,,,Charadrius,,,,,
Charaxes saturnus,Painted Emperor,Insecta,Animalia,Charaxes saturnus,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Papilionoidea,Nymphalidae,Charaxinae,,Charaxini,,Charaxes,,,,,
Charaxes varanes,White Pearl Emperor,Insecta,Animalia,Charaxes varanes,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Papilionoidea,Nymphalidae,Charaxinae,,Charaxini,,Charaxes,,,Charaxes varanes varanes,,
Charaxes varanes varanes,White Pearl Emperor,Insecta,Animalia,Charaxes varanes,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Papilionoidea,Nymphalidae,Charaxinae,,Charaxini,,Charaxes,,,Charaxes varanes varanes,,
Charidotella succinea,,Insecta,Animalia,Charidotella succinea,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Chrysomeloidea,Chrysomelidae,Cassidinae,,Cassidini,,Charidotella,,,,,
Chauliognathus pensylvanicus,Goldenrod Soldier Beetle,Insecta,Animalia,Chauliognathus pensylvanicus,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Elateroidea,Cantharidae,Chauliognathinae,,Chauliognathini,,Chauliognathus,,,,,
Cheilomenes bidentata,Lipstick Lady Beetle,Insecta,Animalia,Cheilomenes bidentata,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Coccinelloidea,Coccinellidae,Coccinellinae,,Coccinellini,,Cheilomenes,,,,,
Cheirolasia burkei,,Insecta,Animalia,Cheirolasia burkei,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Scarabaeoidea,Scarabaeidae,Cetoniinae,,Goliathini,Coryphocerina,Cheirolasia,,,,,
Chelydra serpentina,Common Snapping Turtle,Reptilia,Animalia,Chelydra serpentina,Chordata,Vertebrata,,Reptilia,,,Testudines,,,Chelydridae,,,,,Chelydra,,,,,
Chiastosternum unicolor,Reddot Toffeebug,Insecta,Animalia,Chiastosternum unicolor,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Pentatomoidea,Scutelleridae,Scutellerinae,,Sphaerocorini,,Chiastosternum,,,,,
Chicobolus spinigerus,Florida Ivory Millipede,Animalia,Animalia,Chicobolus spinigerus,Arthropoda,Myriapoda,,Diplopoda,Chilognatha,Juliformia,Spirobolida,Spirobolidea,,Spirobolidae,Spirobolinae,,Aztecolini,,Chicobolus,,,,,
Chilocorus cacti,Cactus Lady Beetle,Insecta,Animalia,Chilocorus cacti,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Coccinelloidea,Coccinellidae,Chilocorinae,,Chilocorini,,Chilocorus,,,,,
Chiromantis xerampelina,Grey Foam-nest Tree Frog,Amphibia,Animalia,Chiromantis xerampelina,Chordata,Vertebrata,,Amphibia,,,Anura,,,Rhacophoridae,Rhacophorinae,,,,Chiromantis,,,,,
Chlorocebus pygerythrus,Southern Vervet Monkey,Mammalia,Animalia,Chlorocebus pygerythrus,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Primates,Haplorhini,,Cercopithecidae,Cercopithecinae,,Cercopithecini,,Chlorocebus,,,Chlorocebus pygerythrus pygerythrus,,
Chlorocebus pygerythrus pygerythrus,Southern Vervet Monkey,Mammalia,Animalia,Chlorocebus pygerythrus,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Primates,Haplorhini,,Cercopithecidae,Cercopithecinae,,Cercopithecini,,Chlorocebus,,,Chlorocebus pygerythrus pygerythrus,,
Chlorophorus varius,Grape Wood Borer,Insecta,Animalia,Chlorophorus varius,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Cerambycoidea,Cerambycidae,Cerambycinae,,Clytini,,Chlorophorus,,,,,
Chlosyne damoetas,Rockslide Checkerspot,Insecta,Animalia,Chlosyne damoetas,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Papilionoidea,Nymphalidae,Nymphalinae,,Melitaeini,,Chlosyne,,,,,
Choeradodis rhombicollis,Peruvian Shield Mantis,Insecta,Animalia,Choeradodis rhombicollis,Arthropoda,Hexapoda,,Insecta,Pterygota,,Mantodea,Eumantodea,Mantoidea,Mantidae,Choeradodinae,,,,Choeradodis,,,,,
